OBJECTID,YEAR_,STATE,GIS_ACRES,SHAPE_Length,SHAPE_Area
42693,2019,CA,10.50961,1017.181664,62352.17362
42694,2019,CA,156.3954,5294.760826,936738.7536
42695,2019,CA,12.059999,1400.3829,88015.64401
42696,2019,CA,226.87349,9265.645359,1638308.486
42697,2019,CA,1873.9371,26282.64319,13684757.1
42698,2019,CA,186.43143,10040.41318,1361316.23
42699,2019,CA,100.20093,3752.022429,731032.0642
42700,2019,CA,12.072379,2122.215282,87390.64115
42701,2019,CA,91.712944,6322.828969,667198.8843
42702,2019,CA,321.53876,7506.350151,1992600.153
42703,2019,CA,55.306419,3353.77635,335857.9461
42704,2019,CA,99.083054,3469.407157,594398.3182
42705,2019,CA,30.35799,2420.3483,181619.1575
42706,2019,CA,251.7925,7439.214873,1511326.428
42707,2019,CA,3125.9055,38512.21351,18664766.93
42708,2019,CA,71.188988,3466.594552,512912.4551
42709,2019,CA,132.08885,4329.814735,965927.5809
42710,2019,CA,5737.1597,34608.932,41766711.46
42711,2019,CA,14184.661,70971.9579,103380900
42712,2019,CA,13.159237,1260.993634,94263.70427
42713,2019,CA,26.80899,2409.687041,194945.9859
42714,2019,CA,28.258286,3171.69994,205238.8434
42715,2019,CA,25.455997,3007.153828,185085.3925
42716,2019,CA,23.592443,2273.092168,163223.1556
42717,2019,CA,244.66501,8372.444865,1689676.266
42718,2019,CA,400.73285,11352.47129,2773247.191
42719,2019,CA,22.747461,1752.414859,166751.3089
42720,2019,CA,172.79083,7788.933539,1024331.008
42721,2019,CA,166.25908,6209.091361,973212.7388
42722,2019,CA,29.219606,2136.742841,178695.5555
42723,2019,CA,92.246086,3109.946506,563887.352
42724,2019,CA,22.09721,1450.078383,137177.4163
42725,2019,CA,287.17838,5904.232095,1781151.694
42726,2019,CA,328.05444,13268.02866,2041039.153
42727,2019,CA,121.29369,3737.563753,752677.1922
42728,2019,CA,12.596249,1726.312118,90173.16188
42729,2019,CA,17.79216,1662.255696,126058.0876
42730,2019,CA,17.782562,1746.669526,125530.3227
42731,2019,CA,10.585982,1647.896688,75647.00693
42732,2019,CA,1339.5955,20069.24168,9492952.617
42733,2019,CA,286.95834,8250.458284,2050497.984
42734,2019,CA,5333.9907,99390.02584,36952235.06
42735,2019,CA,64.90493,3942.819291,436922.9113
42736,2019,CA,20.316816,1841.938303,137280.36
42737,2019,CA,9.9328899,1387.015035,65421.81951
42738,2019,CA,732.40033,11395.99663,4783220.466
42739,2019,CA,7.9035459,1397.043468,51727.04264
42740,2019,CA,88.803566,5678.733228,608267.913
42741,2019,CA,16.532787,2286.636208,113877.8814
42742,2019,CA,5.5622334,894.0139045,38246.14543
42743,2019,CA,46.800632,3394.801739,322921.5489
42744,2019,CA,8.8971577,1544.986464,61413.26432
42745,2019,CA,54614.902,271202.7941,378027378.8
42746,2019,CA,73.552673,4212.406703,508493.2886
42747,2019,CA,21.871624,2174.9868,152470.8149
42748,2019,CA,3441.7661,39373.86031,22905082.04
42750,2019,CA,435.9512,13866.28773,2574850.022
42751,2019,CA,36.587646,2730.829712,235726.6806
42752,2019,CA,4581.7393,59174.7201,27336078.75
42753,2019,CA,36.583591,3036.822137,256263.1396
42754,2019,CA,55.844437,3250.823141,363349.5834
42755,2019,CA,1.0067248,274.0588858,-5968.022347
