OBJECTID,agency,comments,mapmethod,datecurrent,uniquefireidentifier,fireyear,incidentname,pooownerunit,perimeterdatetime,gisacres,complexname,firecode,complexparentirwinid,pooresponsibleunit,state,inciwebid,localincidentidentifier,irwinid,incomplex,complexfirecode,SHAPE_Length,SHAPE_Area
16278,USFS,,Unknown,2006/10/29 00:00:00+00,2006-CARRU-091190,2006,Esperanza,,2006/10/28 18:00:00+00,40176.82017171,,C8CC,,CABDF,CA,,091190,,N,,0.820361336038639,0.0158407376006065
17209,USFS,,Unknown,2007/07/13 00:00:00+00,2007-CAINF-000784,2007,Inyo Complex,,2007/07/09 15:40:00+00,35169.25575845,Inyo Complex,,,CAINF,CA,,000784,,Y,DNJ3,1.27821513438235,0.0143900529638196
17677,NPS,,Unknown,2011/04/29 00:00:00+00,2005-CAMNP-006392,2005,Wildhorse,,2005/06/22 00:00:00+00,63771.40651996,Hackberry Complex,BVY7,,CAMNP,CA,,006392,,Y,BVN6,1.49898509770946,0.0255173792836023
17966,NPS,,Unknown,2012/03/07 00:00:00+00,2005-CAMNP-006375,2005,Hackberry Complex,,2005/06/27 00:00:00+00,48558.14090532,Hackberry Complex,,,CAMNP,CA,,006375,,Y,BVN6,1.5080424132515,0.0194252234500502
18812,Unknown,,Unknown,2002/10/03 00:00:00+00,2002-CAANF-003518,2002,Williams,,2002/10/01 09:00:00+00,38120.44895778,,,,CAANF,CA,,003518,,N,,0.910734474703142,0.0150883909402954
19134,Unknown,,Unknown,2002/08/13 00:00:00+00,2002-CAMVU-005658,2002,Pines,,2002/08/11 12:30:00+00,61691.29242606,,,,CAMVU,CA,,005658,,N,,1.91244117984102,0.0241253769291189
19479,Unknown,,,,2001-CAMDF-000621,2001,Blue,,2001/08/17 00:00:00+00,33975.03942633,Blue Complex,,,CAMDF,CA,,000621,,Y,,0.678286774646743,0.014755668847267
19567,USFS,,Infrared Image,2017/10/27 00:00:00+00,2017-ORRSF-000586,2017,Abney,ORRSF,2017/10/26 19:20:00+00,32915.55722856,Miller Complex,,{08c7d95c-95de-4ee8-ba1e-0accc382d69c},ORRSF,CA,,000586,{0D20F8E5-59D5-4BBE-A898-2BD6D2F8EB90},Y,K9PL,1.38726885977375,0.0144652830442868
20208,USFS,,Infrared Image,2017/12/12 00:00:00+00,2017-CAKNF-006029,2017,WALLOW,CAKNF,2017/10/13 00:13:00+00,65378.35267469,SALMON AUGUST COMPLEX,K9KE,{c5d9c872-35d6-482c-ba68-91b783796d48},CAKNF,CA,,006029,{612DB154-FE35-40B6-BD45-F705611FAEE6},Y,K9N2,2.16694108744498,0.0284941785912007
20331,State agency,,Unknown,2008/07/20 00:00:00+00,2008-CASHU-001108,2008,Motion,,2008/07/20 00:59:59+00,28329.74100341,SHU JUNE LIGHTNING,,,CASHU,CA,,001108,,Y,D8LP,0.804769743076675,0.0122152290889449
20391,USFS,,Unknown,2013/09/27 00:00:00+00,2013-CASTF-002857,2013,Rim,,2013/09/26 09:58:00+00,256917.42637325,,HV2F,,CASTF,CA,3660,002857,,N,,3.51660626414782,0.106510085724844
20454,USFS,,Unknown,2013/06/18 00:00:00+00,2013-CAANF-002297,2013,Powerhouse,,2013/06/17 10:12:59+00,30267.69159665,,HH9J,,CAANF,CA,3399,002297,,N,,1.19598442909098,0.0120454094523045
20612,Local agency,,Unknown,2011/09/14 00:00:00+00,2011-CAKRN-027969,2011,Breckenridge Complex,,2011/09/13 01:31:59+00,27397.61657005,,,,CAKRN,CA,,027969,,N,,0.706864038129886,0.0110019489691598
21013,USFS,,Unknown,2008/07/22 00:00:00+00,2008-CALPF-001491,2008,Indians,,2008/07/21 21:00:00+00,76322.19514882,,D7T3,,CALPF,CA,,001491,,N,,1.04290577773802,0.0309329436576324
21033,USFS,,Unknown,2008/07/18 00:00:00+00,2008-CASHF-001041,2008,Slides,,2008/07/17 22:31:00+00,25721.74676787,LIME COMPLEX,,,CASHF,CA,,001041,,Y,D8HC,1.89983804443601,0.0109958069452277
21221,Local agency,,Unknown,2007/09/03 00:00:00+00,2007-CASBC-005316,2007,Zaca,,2007/09/03 00:00:00+00,243791.37479306,,DMF5,,CASBC,CA,,005316,,N,,2.87401203690257,0.0970621488708781
21500,Local agency,,Unknown,2007/11/16 00:00:00+00,2007-CAORC-068555,2007,Santiago,,2007/11/08 00:00:00+00,28429.96225795,,D1SA,,CAORC,CA,,068555,,N,,0.858725729788683,0.0111912567278677
21505,State agency,,Unknown,2007/09/11 00:00:00+00,2007-CASCU-005214,2007,Lick,,2007/09/09 15:00:00+00,47748.27972243,,DZH4,,CASCU,CA,,005214,,N,,0.903983821402293,0.0196180316111517
21606,USFS,,Unknown,2007/10/27 00:00:00+00,2007-CAANF-004306,2007,Ranch,,2007/10/26 00:00:00+00,58410.31929811,,D1Q3,,CAANF,CA,,004306,,N,,1.6851404979269,0.0232015471620901
22511,CDF,,GPS-Unknown Travel Method,2003/11/06 00:00:00+00,2003-CAMVU-008143,2003,PARADISE,,2003/11/04 18:59:59+00,56557.37034627,,,,CAMVU,CA,,008143,,N,,1.23479174783268,0.0221338527285988
22539,USFS,,GPS-Unknown Travel Method,2003/11/03 00:00:00+00,2003-CABDF-010329,2003,OLD,,2003/11/02 00:00:00+00,52677.1062427,,,,CABDF,CA,,010329,,N,,1.41055078964327,0.0208512021487814
22542,CDF,,GPS-Unknown Travel Method,2003/10/29 00:00:00+00,2003-CAMVU-008151,2003,Otay,,2003/10/27 00:00:00+00,44733.88641982,,,,CAMVU,CA,,008151,,N,,0.700616452353916,0.0173936327160922
22671,USFS,,GPS-Unknown Travel Method,2003/11/01 00:00:00+00,2003-CALPF-002142,2003,Piru,,2003/10/31 09:00:00+00,63726.43486875,,,,CALPF,CA,,002142,,N,,1.0054630724666,0.0253074411074004
22782,CDF,,GPS-Unknown Travel Method,2003/11/03 00:00:00+00,2003-CABDU-011262,2003,GRAND PRIX,,2003/10/30 17:00:00+00,91572.38351298,,,,CABDU,CA,,011262,,N,,2.04412271989528,0.0362602303077086
22978,USFS,IR heat perimeter,Infrared Image,2014/08/21 00:00:00+00,2014-CALNF-003502,2014,Eiler,,2014/08/20 23:51:59+00,33176.43637547,,H98S,,CALNF,CA,4037,003502,{AC340050-5431-4BA0-AABF-997E321B9D97},N,,0.872302630787694,0.0143249492978365
23429,BLM,IR heat perimeter,Infrared Image,2012/08/08 00:00:00+00,2012-CANOD-003373,2012,Lost S-3,,2012/08/08 01:33:00+00,40884.50529426,,G4Z9,,CANOD,CA,3109,003373,,N,,1.097878647241,0.0177689227522252
23488,BLM,FIMT,Unknown,2012/08/13 00:00:00+00,2012-CANOD-003373,2012,Lost,,2012/08/12 21:59:59+00,61516.22325918,,G4Z9,,CANOD,CA,3109,003373,,N,,2.01210460269839,0.0267491086031718
23696,USFS,,Infrared Image,2017/12/12 00:00:00+00,2017-CAKNF-006016,2017,OAK,CAKNF,2017/10/13 00:53:59+00,91125.3314233,ECLIPSE COMPLEX,,{27d0f5a8-e237-461a-bdc2-bb0e478ba248},CAKNF,CA,5497,006016,{E9199515-41A1-4AED-8179-D7D181FA7395},Y,K9QB,3.71401067000306,0.0399100471417529
