OBJECTID,agency,comments,mapmethod,datecurrent,uniquefireidentifier,fireyear,incidentname,pooownerunit,perimeterdatetime,gisacres,complexname,firecode,complexparentirwinid,pooresponsibleunit,state,inciwebid,localincidentidentifier,irwinid,incomplex,complexfirecode,SHAPE_Length,SHAPE_Area
7497,CDF,"Event Standard Perims; Original Data in LNU Complex but no Irwin link to complex",Unknown,2017/10/26 00:00:00+00,2017-CALNU-010045,2017,TUBBS,CALNU,2017/10/25 21:30:00+00,36807.51753516,,LE5R,,CALNU,CA,,010045,{2C61FF85-6DAA-4958-AB36-7D84DDBDA971},N,,1.41341093584724,0.0153948456183828
7839,USFS,IR heat perimeter,Infrared Image,2014/08/10 00:00:00+00,2014-CALNF-003479,2014,Bald,,2014/08/10 02:03:00+00,39752.19453566,,H98T,,CALNF,CA,4022,003479,{A4CDC414-C3D1-4175-9CF3-DD0674AEE1EF},N,,0.903112677495142,0.0171845672768563
8675,USFS,FIMT,Unknown,2009/08/28 00:00:00+00,2009-CALPF-E4TB,2009,La Brea,,2009/08/27 00:00:00+00,89592.95310184,,E4TB,,CALPF,CA,,,,N,,1.27603749457524,0.0357716017861234
9235,USFS,IR Heat Perimeter,Infrared Image,2008/10/03 00:00:00+00,2008-CASRF-001126,2008,Ukonom South,,2008/09/30 21:08:59+00,36779.52521621,UKONOM COMPLEX,,,CAKNF,CA,,001126,,Y,D8RS,1.72985727600903,0.0160134445896366
9451,State Agency,FIMT,Unknown,2012/08/27 00:00:00+00,2012-CATGU-006696,2012,Ponderosa,,2012/08/26 20:48:59+00,27670.37808122,,G6J9,,CATGU,CA,,006696,,N,,0.81563207070267,0.0118824909615764
9455,USFS,Heat Perimeter,Infrared Image,2008/08/07 00:00:00+00,2008-CAKNF-002975,2008,Siskiyou Complex,,2008/08/06 20:55:59+00,59639.40213456,SISKIYOU COMPLEX,,,CAKNF,CA,,002975,,Y,D8LF,1.57420161066861,0.026051474222922
9469,USFS,Heat Perimeter,Infrared Image,2008/09/08 00:00:00+00,2008-CASHF-001057,2008,Eagle,,2008/09/05 20:10:59+00,32084.89478638,IRON COMPLEX,,,CASHF,CA,,001057,,Y,D8HV,1.0298335846739,0.0138375700650642
9488,USFS,FIMT,Unknown,2008/08/17 00:00:00+00,2008-CASRF-001126,2008,Ukonom,,2008/08/16 21:21:59+00,51417.57057625,UKONOM COMPLEX,,,CASRF,CA,,001126,,Y,D8RS,2.7912493497595,0.0223997040242476
9518,Local agency,,Unknown,2008/11/19 00:00:00+00,2008-CAORC-EPH3,2008,Freeway,,2008/11/19 09:59:59+00,30305.5066378,,EPH3,,CAORC,CA,,,,N,,0.912085215695629,0.011956768407979
9565,USFS,FIMT,Unknown,2008/08/19 00:00:00+00,2008-CASHF-000663,2008,Vinegar,,2008/08/18 00:00:00+00,47728.54461551,YOLLA BOLLY COMPLEX,,,CAMNF,CA,,000663,,Y,D85T,1.66731036252081,0.0204048578413302
9775,USFS,FIMT,Unknown,2008/08/19 00:00:00+00,2008-CASHF-000663,2008,Yellow,,2008/08/18 00:00:00+00,32196.75545457,YOLLA BOLLY COMPLEX,,,CAMNF,CA,,000663,,Y,D85T,1.26825684798378,0.0137541337544671
10059,USFS,,Unknown,2007/09/13 00:00:00+00,2007-CAPNF-000670,2007,Moonlight,,2007/09/13 00:00:00+00,65367.7913779,,DZC7,,CAPNF,CA,,000670,,N,,1.00497664762844,0.0279882010004453
10109,Local agency,,Unknown,2007/11/16 00:00:00+00,2007-CALAC-232185,2007,Buckweed,,2007/10/24 18:00:00+00,38347.44327658,,D1RF,,CALAC,CA,,232185,,N,,0.944954838170576,0.0152340325499319
10110,State agency,,Unknown,2007/10/30 00:00:00+00,2007-CAMVU-010432,2007,Witch,,2007/10/29 20:00:00+00,163240.31779878,,D1RC,,CAMVU,CA,,010432,,N,,3.35623527738515,0.0637901540860002
10201,State agency,,Unknown,2007/10/28 00:00:00+00,2007-CAMVU-010427,2007,Harris,,2007/10/27 23:29:59+00,90730.06811193,,D1Q7,,CAMVU,CA,,010427,,N,,2.00801046966005,0.0352878308710555
10715,USFS,,Unknown,2006/10/05 00:00:00+00,2006-CASHF-C1FQ,2006,Bake Oven Fire,,2006/10/04 22:09:59+00,63813.73479452,Bar Complex,,,CASHF,CA,,,,Y,C1FQ,1.33963578013895,0.0276440492424565
10783,USFS,,Unknown,2006/10/05 00:00:00+00,2006-CASHF-002120,2006,Pigeon Fire,,2006/10/04 22:09:59+00,34814.76001,Bar Complex,,,CASHF,CA,,002120,,Y,C1FQ,0.912761287658773,0.0150421251598315
10786,USFS,,Unknown,2006/10/02 00:00:00+00,2006-CALPF-002023,2006,Day,,2006/10/01 20:52:59+00,161815.67586265,,C50E,,CALPF,CA,,002023,,N,,2.3081598406802,0.0643637489542825
10793,State agency,,Unknown,2006/07/20 00:00:00+00,2006-CASCU-004303,2006,Canyon,,2006/07/16 18:00:00+00,33337.24030546,,CXL6,,CASCU,CA,,004303,,N,,0.814448561677117,0.0137205009185552
11075,CDF,,GPS-Unknown Travel Method,2004/10/15 00:00:00+00,2004-CALNU-007867,2004,Rumsey,,2004/10/14 09:30:00+00,39137.78720578,,,,CALNU,CA,,007867,,N,,1.04129347217634,0.0164142499416646
11821,Unknown,,,,2001-CANOD-002228,2001,Observation,,2001/08/16 00:00:00+00,67302.72552114,,,,CANOD,CA,,002228,,N,,1.73253711503439,0.029036075912112
11878,USF,No entry in FireCode,Unknown,,2000-CA-000025,2000,Manter,,2000/07/22 00:00:00+00,79223.43020272,,,,,CA,,000025,,N,,1.28546545805789,0.0320198321594224
12307,USFS,,Unknown,2009/09/14 00:00:00+00,2009-CAANF-003622,2009,Station,,2009/09/14 23:29:59+00,160455.93404677,,E5VL,,CAANF,CA,,003622,,N,,2.13080273901454,0.0636063643482864
12438,Unknown,,Unknown,2002/08/10 00:00:00+00,2002-CASRF-003560,2002,Sour Biscuit,,2002/08/08 00:00:00+00,45696.04723214,Bisquit Complex,,,CASRF,CA,,003560,,Y,,0.983124240229814,0.020091875051817
12441,Unknown,,Unknown,2002/08/29 00:00:00+00,2002-CASQF-001888,2002,McNally,,2002/08/28 06:59:59+00,150135.00816495,,,,CASQF,CA,,001888,,N,,2.73898166380577,0.0607808943754791
12807,State Agency,,Unknown,2018/07/15 00:00:00+00,2018-CASKU-004641,2018,KLAMATHON,CASKU,2018/07/14 21:00:00+00,38008.78820209,,LYL8,,CASKU,CA,5910,004641,{373CAAC0-9D6D-4A91-8B55-7986A13983FC},N,,1.20698533160242,0.0167041799806607
12940,CDF,,Infrared Image,2017/07/19 00:00:00+00,2017-CAFKU-009755,2017,GARZA,CACND,2017/07/18 21:29:00+00,48888.56064703,,K411,,CAFKU,CA,,009755,{D46ECA27-B341-4764-BF58-2A8F43A7802B},N,,0.948836093858183,0.0197656004377067
13153,USFS,IR Heat Perimeter,Infrared Image,2008/10/01 00:00:00+00,2008-CAKNF-003624,2008,Panther,,2008/09/30 21:08:59+00,54025.45749104,SISKIYOU COMPLEX,EC9P,,CAKNF,CA,,003624,,Y,D8LF,2.92735669422351,0.0235840476172826
13165,CDF,,Mixed Methods,2018/09/25 00:00:00+00,2018-CAMEU-008646,2018,RANCH,CAMEU,2018/09/24 00:00:00+00,410202.46323362,Mendocino Complex,L1VW,{E5297875-5551-479A-B839-93B16FF4EE6E},CAMEU,CA,,008646,{25B938AB-3047-4D7B-ADE3-FD752F156F7C},Y,,3.60971873619662,0.173311278199265
13171,USFS,,Mixed Methods,2018/09/01 00:00:00+00,2018-CAWNP-001084,2018,CARR,CAWNP,2018/08/31 07:54:00+00,229651.39943544,,L1A6,,CAWNP,CA,6036,001084,{6315DD52-1B00-4DAF-B57B-3B1E6E0453D1},N,,4.07582570289173,0.0990269430522813
13182,USFS,,Mixed Methods,2018/12/18 00:00:00+00,2018-ORRSF-000348,2018,Natchez,ORRSF,2018/10/19 03:07:00+00,38117.8531947,,L0LU,,ORRSF,CA,5948,000348,{9FA74D0C-BACB-4B2C-8AC5-D4CCDB5C8C8C},N,,1.82930045742532,0.0167301232841892
13203,BLM,,Infrared Image,2016/07/03 00:00:00+00,2016-CACND-001415,2016,ERSKINE,CACND,2016/07/02 22:41:59+00,47967.29289456,,KBZ2,,CACND,CA,4806,001415,{196A02EC-DCC8-426E-BEF3-ED0B356D01D5},N,,1.57904292212983,0.0193008060953282
13286,USFS,,Infrared Image,2016/09/06 00:00:00+00,2016-CASQF-002595,2016,CEDAR,CASQF,2016/09/06 02:23:59+00,29100.55869722,,KME1,,CASQF,CA,4964,002595,{59E7B803-DE13-4D24-942A-280E60B96089},N,,1.04541068948907,0.0117409815028073
13321,USFS,,Infrared Image,2016/09/02 00:00:00+00,2016-CALPF-002809,2016,REY,CALPF,2016/09/01 21:43:00+00,32580.43607857,,KMY4,,CALPF,CA,4971,002809,{3D34EF0C-1632-4CAC-9430-B818691A9B72},N,,1.37454584482884,0.0129539595380842
